,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
199,2023-10-05,8,47.29013,47.29013,-826.7056
200,2023-10-05,9,60.81,60.81,-188.6023
201,2023-10-05,10,60.1,60.1,-213.7784
202,2023-10-05,11,45.0,45.0,-162.84961
203,2023-10-05,12,31.0,31.0,-452.2945
204,2023-10-05,13,45.0,45.0,-218.2526
205,2023-10-05,14,109.0,109.0,90.6055
206,2023-10-05,15,45.0,45.0,-19.52717
207,2023-10-05,16,45.0,45.0,-64.8669
208,2023-10-05,17,115.0,115.0,19.93569
209,2023-10-05,18,165.0,165.0,146.7918
210,2023-10-05,19,115.0,115.0,8.7166
211,2023-10-05,20,45.1,45.1,-237.4001
212,2023-10-05,21,45.0,45.0,-527.1472
213,2023-10-05,22,45.1,45.1,-773.9704
214,2023-10-05,23,45.1,45.1,-213.5764
215,2023-10-05,24,46.0,46.0,-44.9918
216,2023-10-05,25,45.55,45.55,-199.8806
217,2023-10-05,26,11.36517,11.36517,-239.56761
218,2023-10-05,27,46.0,46.0,-83.53271
219,2023-10-05,28,46.0,46.0,-89.8016
220,2023-10-05,29,-75.0,-75.0,-110.1909
221,2023-10-05,30,99.0,99.0,114.2746
222,2023-10-05,31,98.89,98.89,96.52771
223,2023-10-05,32,98.89,98.89,61.4909
224,2023-10-05,33,46.05,46.05,-148.83559
225,2023-10-05,34,0.69,0.69,-219.08508
226,2023-10-05,35,46.0,46.0,-325.7389
227,2023-10-05,36,46.15,46.15,-108.3028
228,2023-10-05,37,46.15,46.15,-137.1346
229,2023-10-05,38,46.1,46.1,-304.5162
230,2023-10-05,39,46.1,46.1,-303.07962
231,2023-10-05,40,46.05,46.05,-353.9333
232,2023-10-05,41,46.15,46.15,-210.52959
233,2023-10-05,42,46.21,46.21,-78.754
234,2023-10-05,43,91.23015,91.23015,77.2544
235,2023-10-05,44,46.05,46.05,-37.67379
236,2023-10-05,45,46.05,46.05,-57.00359
237,2023-10-05,46,26.0,26.0,-198.20218
238,2023-10-05,47,-21.53,-21.53,-111.1151
239,2023-10-05,48,-50.0,-50.0,-153.4361
240,2023-10-06,1,-50.0,-50.0,-182.79015
241,2023-10-06,2,-61.04,-61.04,-289.315
242,2023-10-06,3,-70.0,-70.0,-405.19827
243,2023-10-06,4,-75.0,-75.0,-476.5734
244,2023-10-06,5,-75.0,-75.0,-479.9191
245,2023-10-06,6,-81.0,-81.0,-626.8022
246,2023-10-06,7,-82.24,-82.24,-698.0483
247,2023-10-06,8,-82.24,-82.24,-706.5481
248,2023-10-06,9,-82.24,-82.24,-800.14
249,2023-10-06,10,-82.24,-82.24,-802.723
250,2023-10-06,11,-84.52,-84.52,-864.2402
251,2023-10-06,12,-81.0,-81.0,-683.0272
